Moleculas,Structure of Smiles [idcode],Smiles,Compound,Link,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,LE from Moleculas,LLE from Moleculas,LELP from Moleculas,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Nasty Functions,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Carbon Fraction,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Stereo Configuration,Globularity SVD,Globularity Vol,VDW-Surface,VDW-Volume
11,ek`PH@@@LbbRfTRrTtRLVTThxdt\|brjijfjjjfjjhRA\JQVKqQHjCRAj@,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@]2(C)[C@H]1C1=CC=C(C[C@H](CC3)O)[C@@]3(C)[C@H]1CC2,"(22E)-ergosta-5,7,22-trien-3Î²-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out11.smi.png,396.656,396.656,396.339.215,7.0441,-5.907,1,1,319.97,40.941,20.23,-11.756,37.649,91.451,18.71,none,none,none,none,,55.172,29.948,,1,29,1,0,1,8,4,4,0,78.571,23,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,32.393,71.524,463.96,568.13
12,ek`PH@@@LbbRfbTJTtRLVTThXTt\|brjjjjjjjfjijRADIaBJq^JIEPZPMP,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@]2(C)[C@H]1C1=CC[C@H](C[C@H](CC3)O)[C@@]3(C)[C@H]1CC2,"(22E)-Ergosta-7,22-dien-3Î²-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out12.smi.png,398.672,398.672,398.354.865,7.1486,-6.171,1,1,321.52,40.744,20.23,-12.005,3.747,77.222,19.078,none,low,none,none,,55.172,30.637,,1,29,1,0,1,9,4,4,0,85.714,25,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,36.612,72.218,462.96,574.56
13,ek`PH@@@LbbRfbTJTtRLVTthXTt\|brjjjjjjjfZihRADIaBJq^JJERAj@,CC(C)C(/C=C/[C@@H](C)[C@H](CC1)[C@]2(C)[C@H]1C1=CC[C@H](C[C@H](CC3)O)[C@@]3(C)[C@H]1CC2)=C,"(3Î²,5Î±,22E)-Ergosta-7,22,24(28)-trien-3-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out13.smi.png,396.656,396.656,396.339.215,7.3512,-6.074,1,1,319.51,41,20.23,-19.857,37.306,53.486,19.705,none,low,none,none,,55.172,3.054,,1,29,1,0,1,8,4,4,0,78.571,23,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,40.188,72.343,457.14,565.22
14,eghPH@@@LbbRfTRrTtRLVTTUGDfcgdVUUMUUUUTuUUTdBxdbtUd|TRJPr`Z`,CC[C@@H](C(C)C)/C=C/[C@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H]1[C@H]2[C@](C)(CC[C@@H](C2)O)C2=CC1,"24-ethylcholesta-5,22-dien-3Î²-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out14.smi.png,412.699,412.699,412.370.515,7.603,-6.441,1,1,335.28,39.072,20.23,1.2217,35.915,25.087,21.169,none,none,none,none,,53.333,31.611,,1,30,1,0,1,9,5,4,0,86.207,26,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,40.567,70.904,485.63,600.48
15,el^PN@@@DFNGCklbbRdQTRdjTfbqbbJTDdl|\|RrZFZjjjjjjjjZjjjDDddtWdbfRZTr@@,CC(C)CCC[C@H]([C@@H](CC1)[C@@](C)(CC2)[C@]1(C)[C@]1(CC3)O[C@@]12[C@@](C)(CC1)[C@@H]3C(O)(O)OC1=O)C(O)=O,"3,4-seco-8Î±,9Î±-Epoxy-5Î±-lanosta-21-oic acid 3,4 lactone",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out15.smi.png,492.65,492.65,492.308.705,4.6684,-4.999,7,3,353.32,2.633,116.59,-56.475,30.667,3.1555,15.223,none,none,none,high,oxiran/aziridine; orthoester/acid,45.714,33.158,,1,35,7,0,7,8,6,5,0,92.857,31,2,7,3,4,7,7,0,3,3,0,4,4,0,0,0,0,0,0,0,1,this enantiomer,40.473,71.888,490.41,622.18
16,edRPB@@@D@X\bfbbTbRbJabQdrtQda`RWPsUUUUUSUUTttsFDHSBdcRFP@,CC(C)CCC[C@H]([C@@H](CC1)[C@@](C)(CC=C2[C@@]3(C)CCC(O)=O)[C@]1(C)C2=CC[C@@H]3C(C)=C)C(O)=O,"3,4-seco-5Î²-Lanosta-7,9(11),4(29)-trien-3,21-dioic acid",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out16.smi.png,470.691,470.691,47.033.961,7.1023,-5.748,4,2,372,14.054,74.6,-22.198,31.456,69.358,22.579,none,none,none,none,,47.059,42.187,,1,34,4,0,4,6,10,3,0,73.333,24,1,3,3,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,2,this enantiomer,48.653,71.244,488.68,610.67
17,elZPB@@@D@X\bfbbTbRbJabQdrtQfdLBRzFZjjjjjZjjffifLHPfEIFdL`@,CC(C)CCC[C@H]([C@@H](CC1)[C@@](C)(CC=C2[C@@]3(C)CCC(OC)=O)[C@]1(C)C2=CC[C@@H]3C(C)=C)C(O)=O,"3,4-seco-5Î²-lanosta-7,9(11),4(29)-trien-3,21-dioic acid-3-methyl ester",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out17.smi.png,484.718,484.718,48.435.526,7.5302,-5.876,4,1,387.91,12.678,63.6,-29.675,30.454,23.935,24.726,none,none,none,none,,48.571,42.968,,1,35,4,0,4,6,11,3,0,74.194,25,1,3,3,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,this enantiomer,43.165,70.335,504.63,628.54
18,egdPD@@@KLdTRdRRrQfbQbrbdBCBdag`RQUUUUUUUUMUUUiADEaFEHeDx`ddjiMHNh,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@H]1[C@H]1[C@H]2[C@@](C)(CC[C@@H](C2)O)[C@]22O[C@H]2C1,"5Î±,6Î±-epoxy-24(R)-methylcholesta-7,22-dien-3Î²-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out18.smi.png,414.671,414.671,41.434.978,6.132,-6.067,2,1,323.87,94.946,32.76,-11.021,35.416,1.6127,17.314,none,none,none,none,oxiran/aziridine,53.333,30.496,,1,30,2,0,2,11,4,5,0,92.857,28,1,6,4,2,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,33.759,72.115,471.42,589.08
19,eaSXF@@J@DK@hdlbbTTrRTfbTQQRfbQbrbfcfSUSTrqssUUUUSUUUUUSUUUZXPbJQqYIjCIYGKzXrBF@,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@]2(C)[C@H]1[C@]1(CC3)OO[C@]3(C[C@@H](CC3)OC([C@H](CCC(O)=O)N)=O)[C@@]3(C)[C@H]1CC2,"5Î±,8Î±-epidioxy-24(R)-methylcholesta-6,22- dien-3Î²-D-glucopyranoside",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out19.smi.png,559.785,559.785,559.387.289,4.0864,-6.589,7,2,419.43,20.134,108.08,-20.853,26.482,3.6348,15.431,none,high,none,none,peroxo,0.55,35.075,,1,40,7,0,7,11,10,5,0,87.879,34,1,6,4,2,6,6,0,4,4,0,2,2,0,0,1,1,0,0,1,1,this enantiomer,32.453,66.854,582.39,721.98
20,egdPJ@@@FKDfldTRdRrRQfbvfRbdBGBdag`VQUUUUUUUUMUUUi@dEaNEHeHx`idjeMHNh,CC(C)[C@@H](C)/C=C/[C@H]([C@@H](CC[C@@H]1[C@@H](C[C@@H]2O[C@]22C[C@H](CC3)O)[C@H](CC4)[C@]23O)[C@]14O)O,"5Î±,8Î±-epidioxy-24(R)-methylcholesta-6,22-dien-Î²-ol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out20.smi.png,420.588,420.588,420.287.575,2.5821,-4.254,5,4,306.14,22.882,93.45,-77.691,35.207,5.1169,7.3341,none,none,none,none,oxiran/aziridine,53.333,31.317,,1,30,5,0,5,11,4,5,0,0.92,28,1,6,4,2,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,32.549,70.769,463.22,557.91
21,eolPL@@@EGLdTRdRbVrLtRLVTT`PXtdlBbrjjjjjijjjjjjiRBHSBTQaRJIYIjKP@,CC(C)[C@@H](C)CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@](C)(CC[C@@H](C3)O)[C@]33O[C@@H]33)C1=C2[C@@H]3O,"5Î±,6Î±-epoxyergosta-8(14)-ene-3Î²,7Î±-diol",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out21.smi.png,430.67,430.67,430.344.695,5.5985,-5.596,3,2,327.9,13.373,52.99,-77.916,33.977,2.0793,16.477,high,none,none,none,oxiran/aziridine,51.613,3.287,,1,31,3,0,3,10,5,5,0,92.857,29,1,6,4,2,5,6,0,3,4,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,39.035,71.226,476.87,588.38
22,eolPL@@@HJldRdTbttRTRv\VTTHDhxtB|JbrjjjZjjjjZjfjQBXQbBSQ^JIMQZPCP,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC=C2[C@@]3(C)CC[C@@H](C4)O)[C@@H]1[C@]21OO[C@@]34C=C1,"9,11-dehydroergosterol peroxide",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out22.smi.png,426.638,426.638,426.313.395,6.2814,-5.725,3,1,322.82,10.253,38.69,-20.469,33.888,1.3762,18.536,none,high,none,none,peroxo,51.613,33.801,,1,31,3,0,3,9,4,5,0,78.571,25,1,6,4,2,3,6,0,2,4,0,1,2,0,0,0,0,0,0,0,0,this enantiomer,34.989,72.805,462.4,580.43
23,edZPL@@@DH\bfbbTbRbLTlRLfVdta`VPtussUUUUTtuUUUTuqaBDpiItih|`@,CC(C)C(CC[C@H]([C@@H](CC1)[C@]2(C)[C@]1(C)C1=CC[C@@H](C(C)(C)[C@H](CC3)O)[C@@]3(C)C1=CC2)C(O)=O)=C,Dehydroeburicoic acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out23.smi.png,468.719,468.719,468.360.345,7.1549,-6.027,3,2,362.16,10.835,57.53,-65.051,3.082,48.337,23.215,none,none,none,none,,47.059,3.572,,1,34,3,0,3,7,6,4,0,77.419,26,2,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,1,this enantiomer,39.553,72.092,494.58,632.83
24,edZPL@@@DH\bfbbTbRbLTlRLfVdta`VPtussUUUUTsUUUUUUqaBDpiItih|`@,CC(C)C(CC[C@H]([C@@H](CC1)[C@@](C)(CC2)[C@]1(C)C(CC1)=C2[C@@](C)(CC2)[C@@H]1C(C)(C)[C@H]2O)C(O)=O)=C,Eburicoic acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out24.smi.png,470.735,470.735,470.375.995,7.4303,-6.255,3,2,363.18,10.805,57.53,-68.885,30.745,18.949,24.167,none,none,low,none,,47.059,35.027,,1,34,3,0,3,7,6,4,0,83.871,28,2,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,1,this enantiomer,4.053,73.065,493.24,643.07
25,ehRPF@@@@fco`\bbbTTbbbbVflfaITXxdb\jrzZZjjjjjZjjZjDhSDx`ddadJgR@@,C[C@H](CCC(O)=O)[C@@H](CC1=O)[C@@](C)(C2)[C@]1(C)C([C@H](C[C@@H](C1(C)C)[C@]3(C)CC[C@@H]1O)O)=C3C2=O,Ganoderic Acid N,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out25.smi.png,460.609,460.609,46.028.249,3.6134,-4.397,6,3,328.74,23.855,111.9,-37.842,31.603,3.9887,11.434,none,none,none,none,,45.455,26.189,,1,33,6,0,6,8,4,4,0,81.481,25,1,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,1,this enantiomer,4.087,74.575,455.6,588.7
26,flm@P@@HDGHheHdhXemBTiqQg^ZjjijZjjXQEQLRd@,CC(C)(C[C@@H]1[C@@](C2)([C@]22[C@H](O)O3)C3=O)C[C@H]1C=C2C=O,Marasmic acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out26.smi.png,262.304,262.304,26.212.051,8.005,-2.52,4,1,172.38,2.853,63.6,-25.475,54.767,6.7845,1.4616,high,none,high,high,,42.105,1.877,,1,19,4,0,4,5,1,4,0,73.333,13,1,6,4,2,4,6,0,2,4,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,53.588,77.717,292.68,322.5
27,elVPF@@@GJehT\bbbTTbbbRt\faqTtTXDd|BJRZZZjjjjjjjfijiRaLSbBRRFRJYQjOH@,C[C@H](CCC([C@@H](C)C(O)=O)=C)[C@@H](CC1)[C@@](C)(C2)[C@@H]1C([C@H](C[C@H]([C@]1(C)CC[C@H]3O)[C@@]3(C)O)O)=C1C2=O,Antcin K,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out27.smi.png,488.662,488.662,48.831.379,4.3834,-4.704,6,4,356.18,22.034,115.06,-15.436,29.666,3.1852,14.776,none,none,none,none,,48.571,38.175,,1,35,6,0,6,10,6,4,0,7.931,27,0,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,1,this enantiomer,33.638,72.107,487.4,619.19
28,ehVPJ@@@LFMLldTbdtVbTVrdUlVTThXxTTt\RbjJzjjijjjjjijjjiRAHJb\QQNKrEHZGRAZ@,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)C1=C1[C@@]3(O)O[C@]4(C5)O[C@H]3O[C@@]12[C@@]4(C)CC[C@@H]5O,Eringiacetal A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out28.smi.png,458.636,458.636,458.303.225,4.8139,-5.027,5,2,321.55,17.478,68.15,-18.572,31.399,2.7389,15.331,none,none,none,none,,48.485,26.019,,1,33,5,0,5,10,4,6,0,85.714,29,1,9,3,6,8,9,0,2,3,0,6,6,0,0,0,0,0,0,0,0,this enantiomer,35.097,7.144,480.8,598.27
29,fcA@@@YEDeLeLeMDcEeEJLdjs`ijjjjjjjZjfiPQDqBQhyAVYuPk@,CC(C)[C@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@]2(C)[C@@H]1C1=CC[C@H](C[C@H](CC3)O)[C@H]3[C@H]1CC2,Estelasterol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out29.smi.png,384.645,384.645,384.339.215,6.8171,-5.994,1,1,311.35,42.075,20.23,-12.005,36.931,7.205,18.459,none,none,none,none,,57.143,31.559,,1,28,1,0,1,9,4,4,0,85.185,24,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,35.327,71.854,453.77,553.3
30,e`\PD@@@ElbbdRebTJTfbqbaRg@ae`TQSUUUUSUUUUTuUBPHbBKrQHi]PY@@,C[C@H]([C@@H](CC=C(C)C)O)[C@@H](CC1)[C@@](C)(CC2)[C@]1(C)C(CC1)=C2[C@@](C)(CC2)[C@@H]1C(C)(C)[C@H]2O,Inotodiol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out30.smi.png,442.725,442.725,44.238.108,7.3998,-6.054,2,2,345.89,75.747,40.46,-11.653,32.252,12.308,22.944,none,none,high,none,,0.5,30.861,,1,32,2,0,2,8,4,4,0,86.667,28,2,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,35.022,72.768,482.31,618.09
31,eodPH@@@LbbdRebTJTfbqbrTxDLlBbJZjjjjZjjjjZjnHDQAEyHdTnh@@,C[C@H](CCC=C(C)C)[C@@H](CC1)[C@@](C)(CC2)[C@]1(C)C(CC1)=C2[C@@](C)(CC2)[C@@H]1C(C)(C)[C@H]2O,Lanosterol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out31.smi.png,426.726,426.726,426.386.165,8.4216,-6.453,1,1,340.8,38.439,20.23,-41.331,33.229,-91.296,25.344,none,none,high,high,,51.613,27.835,,1,31,1,0,1,7,4,4,0,86.667,27,2,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,36.246,72.876,479.08,613.19
32,ekPpD@@@DLbbRbRRfTRTJRTrbRJbVRTtTLbrzfN^ZjjjjjjjjjjjZjjZdHTbLWbZTrNPLydAL@,CCCCCCCCCCCCCCC(O[C@@H](CC1)C[C@@H]2[C@@]1(C)[C@@H](CC[C@@]1(C)[C@@H]3CC[C@@H]1[C@H](C)/C=C/[C@H](C)C(C)C)C3=CC2)=O,"Ergosta-7,22-dien-3Î²-yl pentadecanoate",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out32.smi.png,623.059,623.059,62.256.888,13.54,-10.091,2,0,534.06,43.141,26.3,-25.406,22.849,-60.455,59.26,none,none,none,none,,68.889,40.052,,1,45,2,0,2,9,19,4,0,88.372,39,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,23.966,58.729,747.34,864.36
33,eolPL@@@HJldRdTfTtRTRv\VTTHxhDtB|JbrjjjjjjjjZjZiQBXRbLPRZKqQIjKR@Z@,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@@H]2[C@@]3(C)CC[C@@H](C4)O)[C@@H]1[C@@]21OO[C@@]34C=C1,Ergosterol peroxide,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out33.smi.png,428.654,428.654,428.329.045,6.3859,-5.989,3,1,324.37,10.204,38.69,-24.641,33.109,1.0956,19.288,none,high,none,none,peroxo,51.613,31.396,,1,31,3,0,3,10,4,5,0,85.714,27,1,6,4,2,4,6,0,3,4,0,1,2,0,0,0,0,0,0,0,0,this enantiomer,34.774,7.184,476.68,595.6
